C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_39_958.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_39_958.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_39_958.jpg,0,1,0,16.75142
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_027.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_027.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_027.jpg,0,1,0,17.38534
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_100.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_100.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_100.jpg,-0.05,1,0,18.21412
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_167.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_167.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_167.jpg,-0.2,1,0,18.81202
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_241.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_241.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_241.jpg,-0.4,1,0,19.55768
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_316.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_316.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_316.jpg,-0.2865186,1,0,20.31455
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_389.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_389.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_389.jpg,-0.0891168,1,0,20.92104
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_462.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_462.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_462.jpg,0,1,0,21.70455
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_535.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_535.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_535.jpg,0,1,0,22.49409
C:\Users\DELL\Desktop\imagess\IMG\center_2020_11_12_19_45_40_608.jpg,C:\Users\DELL\Desktop\imagess\IMG\left_2020_11_12_19_45_40_608.jpg,C:\Users\DELL\Desktop\imagess\IMG\right_2020_11_12_19_45_40_608.jpg,0,1,0,23.0851
